"joinID","Long","Lat"
24,525135.42623729,175486.876465405
25,525175.42623729,175486.876465405
27,525255.42623729,175486.876465405
29,525335.42623729,175486.876465405
30,525375.42623729,175486.876465405
33,525495.42623729,175486.876465405
34,525535.42623729,175486.876465405
45,524875.42623729,175521.517481557
46,524915.42623729,175521.517481557
47,524955.42623729,175521.517481557
48,524995.42623729,175521.517481557
49,525035.42623729,175521.517481557
50,525075.42623729,175521.517481557
51,525115.42623729,175521.517481557
52,525155.42623729,175521.517481557
53,525195.42623729,175521.517481557
54,525235.42623729,175521.517481557
55,525275.42623729,175521.517481557
56,525315.42623729,175521.517481557
57,525355.42623729,175521.517481557
58,525395.42623729,175521.517481557
59,525435.42623729,175521.517481557
60,525475.42623729,175521.517481557
61,525515.42623729,175521.517481557
62,525555.42623729,175521.517481557
63,525595.42623729,175521.517481557
64,525635.42623729,175521.517481557
65,525675.42623729,175521.517481557
66,525715.42623729,175521.517481557
74,524775.42623729,175556.158497708
75,524815.42623729,175556.158497708
76,524855.42623729,175556.158497708
77,524895.42623729,175556.158497708
78,524935.42623729,175556.158497708
79,524975.42623729,175556.158497708
80,525015.42623729,175556.158497708
81,525055.42623729,175556.158497708
82,525095.42623729,175556.158497708
83,525135.42623729,175556.158497708
84,525175.42623729,175556.158497708
85,525215.42623729,175556.158497708
86,525255.42623729,175556.158497708
87,525295.42623729,175556.158497708
88,525335.42623729,175556.158497708
89,525375.42623729,175556.158497708
90,525415.42623729,175556.158497708
91,525455.42623729,175556.158497708
97,525695.42623729,175556.158497708
98,525735.42623729,175556.158497708
99,525775.42623729,175556.158497708
100,525815.42623729,175556.158497708
108,524675.42623729,175590.79951386
109,524715.42623729,175590.79951386
110,524755.42623729,175590.79951386
111,524795.42623729,175590.79951386
112,524835.42623729,175590.79951386
113,524875.42623729,175590.79951386
114,524915.42623729,175590.79951386
115,524955.42623729,175590.79951386
116,524995.42623729,175590.79951386
117,525035.42623729,175590.79951386
118,525075.42623729,175590.79951386
119,525115.42623729,175590.79951386
120,525155.42623729,175590.79951386
121,525195.42623729,175590.79951386
122,525235.42623729,175590.79951386
123,525275.42623729,175590.79951386
136,525795.42623729,175590.79951386
137,525835.42623729,175590.79951386
138,525875.42623729,175590.79951386
139,525915.42623729,175590.79951386
140,525955.42623729,175590.79951386
146,524615.42623729,175625.440530011
147,524655.42623729,175625.440530011
148,524695.42623729,175625.440530011
149,524735.42623729,175625.440530011
150,524775.42623729,175625.440530011
151,524815.42623729,175625.440530011
152,524855.42623729,175625.440530011
153,524895.42623729,175625.440530011
154,524935.42623729,175625.440530011
155,524975.42623729,175625.440530011
156,525015.42623729,175625.440530011
157,525055.42623729,175625.440530011
158,525095.42623729,175625.440530011
159,525135.42623729,175625.440530011
160,525175.42623729,175625.440530011
161,525215.42623729,175625.440530011
162,525255.42623729,175625.440530011
163,525295.42623729,175625.440530011
166,525415.42623729,175625.440530011
177,525855.42623729,175625.440530011
178,525895.42623729,175625.440530011
179,525935.42623729,175625.440530011
180,525975.42623729,175625.440530011
187,524555.42623729,175660.081546162
188,524595.42623729,175660.081546162
189,524635.42623729,175660.081546162
190,524675.42623729,175660.081546162
191,524715.42623729,175660.081546162
192,524755.42623729,175660.081546162
193,524795.42623729,175660.081546162
194,524835.42623729,175660.081546162
195,524875.42623729,175660.081546162
196,524915.42623729,175660.081546162
197,524955.42623729,175660.081546162
198,524995.42623729,175660.081546162
199,525035.42623729,175660.081546162
200,525075.42623729,175660.081546162
202,525155.42623729,175660.081546162
203,525195.42623729,175660.081546162
204,525235.42623729,175660.081546162
205,525275.42623729,175660.081546162
221,525915.42623729,175660.081546162
222,525955.42623729,175660.081546162
223,525995.42623729,175660.081546162
224,526035.42623729,175660.081546162
230,524415.42623729,175694.722562314
231,524455.42623729,175694.722562314
232,524495.42623729,175694.722562314
233,524535.42623729,175694.722562314
234,524575.42623729,175694.722562314
235,524615.42623729,175694.722562314
236,524655.42623729,175694.722562314
237,524695.42623729,175694.722562314
238,524735.42623729,175694.722562314
239,524775.42623729,175694.722562314
240,524815.42623729,175694.722562314
241,524855.42623729,175694.722562314
242,524895.42623729,175694.722562314
243,524935.42623729,175694.722562314
244,524975.42623729,175694.722562314
245,525015.42623729,175694.722562314
246,525055.42623729,175694.722562314
248,525135.42623729,175694.722562314
249,525175.42623729,175694.722562314
250,525215.42623729,175694.722562314
251,525255.42623729,175694.722562314
262,525695.42623729,175694.722562314
269,525975.42623729,175694.722562314
270,526015.42623729,175694.722562314
271,526055.42623729,175694.722562314
272,526095.42623729,175694.722562314
278,524355.42623729,175729.363578465
279,524395.42623729,175729.363578465
280,524435.42623729,175729.363578465
