"service","production","OPMpresence","riskPerc","budget","knowledge","nature","access"
"biodiversity",0.4,1,NA,NA,NA,1,NA
"recreation",0.4,1,NA,NA,NA,NA,1
"management",NA,1,NA,NA,NA,NA,NA
